hour,solar_output,city_demand
1,81,102
2,84,64
3,41,70
4,75,126
5,52,73
6,69,81
7,38,74
8,30,61
9,110,120
10,76,132
11,98,149
12,63,111
13,78,138
14,111,50
15,96,93
16,54,104
17,69,148
18,87,113
19,113,133
20,88,56
21,42,87
22,74,64
23,82,132
24,37,134
25,93,139
26,46,99
27,56,83
28,84,135
29,34,94
30,107,112
31,58,118
32,51,108
33,75,145
34,37,133
35,63,72
36,81,73
37,113,59
38,32,143
39,48,142
40,93,95
41,117,127
42,115,50
43,117,146
44,60,60
45,92,104
46,78,97
47,43,83
48,62,96
49,100,77
50,108,60
51,70,79
52,119,141
53,78,51
54,82,129
55,55,105
56,108,64
57,85,52
58,110,130
59,102,140
60,114,147
61,44,125
62,60,114
63,120,65
64,101,143
65,107,59
66,100,75
67,95,141
68,113,97
69,55,91
70,38,88
71,41,144
72,43,70
73,113,58
74,103,59
75,49,90
76,111,87
77,98,97
78,73,88
79,71,81
80,77,150
81,44,64
82,52,104
83,35,115
84,81,118
85,45,98
86,67,143
87,50,134
88,41,57
89,50,104
90,47,84
91,55,72
92,107,58
93,108,150
94,90,116
95,68,114
96,68,65
97,87,103
98,79,94
99,55,109
100,70,149
